movie_id,rating,votes,runtime,release_year,revenue,genre
1,8.904038173405022,50325,127,2016,332.6210454012387,Horror
2,2.718869227021097,79940,83,2019,181.2800479383662,Horror
3,7.426718407392034,36207,135,2018,218.05765443913222,Horror
4,1.1349242873662235,37539,166,2020,391.7534383531009,Action
5,2.321661312242382,79798,120,2016,12.733754600373913,Drama
6,2.4170414868566845,15530,84,2011,37.209561902543896,Comedy
7,6.063999423713598,54592,161,2018,431.30424367655615,Action
8,5.746090845784552,18558,176,2004,113.76822621297427,Sci-Fi
9,2.7542216604844625,57485,179,2024,397.2161334172057,Comedy
10,1.3369722477072585,70647,116,2019,258.5765695370655,Drama
11,9.669137931779758,42303,136,2014,203.91593955018243,Drama
12,5.083656624142712,40872,120,2023,266.44884228941226,Action
13,9.325744559554662,81747,121,2015,234.0700655372123,Comedy
14,3.8458236361424047,87855,82,2019,165.70775875755487,Drama
15,2.69956610380314,50047,137,2000,141.61142113035459,Sci-Fi
16,1.7926168233310729,79126,83,2002,411.1946976526869,Sci-Fi
17,5.973325340720998,12935,115,2001,494.2231351569957,Action
18,4.043791732926889,13427,88,2005,442.3200031313783,Drama
19,4.719084209772822,11987,174,2015,341.33235267814507,Horror
20,9.061528309447146,66239,94,2003,92.09731728216316,Horror
21,8.771089606621265,91672,120,2010,9.706149756302233,Drama
22,2.8550236959385047,65286,133,2018,253.08412273835455,Action
23,8.938272375825921,89492,86,2008,162.2272154931833,Comedy
24,2.8296826299365736,22538,101,2022,273.89812613742276,Horror
25,4.025313564537543,68555,139,2021,344.84193364288615,Drama
26,8.983455011340691,75281,125,2013,244.91002089115668,Comedy
27,5.553546625717455,20440,90,2006,497.81531490398265,Comedy
28,9.469539742642468,49524,150,2022,37.465718473078404,Sci-Fi
29,1.8438018906314286,31448,95,2023,366.31343671881115,Horror
30,5.218398082518643,27809,167,2006,142.1283568297229,Horror
31,3.962052463870704,19834,118,2016,495.63831112708505,Action
32,8.563761129691166,33775,148,2012,331.4342744113526,Action
33,7.516827495462857,87662,85,2011,64.0379184629586,Comedy
34,1.9430042369022238,93098,176,2011,391.4770324545334,Horror
35,6.362647846152545,30140,157,2002,115.88011666555217,Action
36,7.291737984072913,58229,112,2009,151.09211862906625,Sci-Fi
37,3.7908496297248773,32335,109,2021,296.4546195092676,Drama
38,8.861133822048583,24712,151,2003,461.23819272638093,Action
39,9.344804643034674,24862,124,2023,234.74885893184916,Sci-Fi
40,5.270773968943228,66477,124,2000,19.819376006602113,Drama
41,1.0594192816994785,39158,101,2003,321.6262475478181,Action
42,3.3595375198876978,15816,100,2015,385.2667864032903,Action
43,5.910794640027737,86088,102,2012,123.05330619581126,Horror
44,1.452511472839762,18008,160,2001,264.3973325575015,Comedy
45,1.5259366072669387,94599,104,2014,112.64948279509534,Horror
46,7.6742370788963035,91008,92,2002,477.29883804151643,Action
47,9.964426028506963,63782,175,2021,397.3432864667897,Action
48,7.570809963165269,12482,176,2013,254.76168397503722,Sci-Fi
49,7.785744554069427,6744,172,2010,167.9389659091683,Sci-Fi
50,1.6058919573498178,98674,177,2011,434.9856412594316,Action
51,4.71449126644576,26392,95,2018,389.5391644760871,Sci-Fi
52,9.499049425487268,35105,123,2004,291.62473999128116,Action
53,1.0022738558773892,93204,158,2006,73.02467623026773,Comedy
54,7.208680516962665,56948,161,2013,220.28412642916535,Horror
55,9.789121344921314,18604,117,2012,118.48642550978519,Comedy
56,7.840204507986464,40133,111,2013,406.83380618836816,Drama
57,7.563407765221275,87413,93,2007,309.2017313154728,Action
58,9.73420122887599,13304,149,2019,219.19319007626925,Horror
59,7.68944640252184,99867,104,2012,252.5334686253521,Action
60,5.589869910761288,7891,162,2009,340.9279561440614,Drama
61,2.40014119016365,33957,143,2013,167.78009238418,Sci-Fi
62,6.5690901064447065,4296,88,2009,337.4783234694579,Comedy
63,1.0964769189312236,8094,146,2015,432.6874759012867,Action
64,4.120087456089125,60444,102,2004,114.30621805048001,Horror
65,7.1731015167338725,91950,129,2008,184.62067490019456,Comedy
66,3.4031346328098446,19875,176,2020,83.7209609213934,Action
67,6.609937358074639,86508,180,2003,493.469456600916,Comedy
68,5.068510769112643,84734,152,2006,413.8995361061385,Sci-Fi
69,9.982411090439676,70228,143,2020,77.72332651383437,Horror
70,3.1932144415673567,90158,163,2023,183.96564268013526,Sci-Fi
71,1.1202173501679016,66196,149,2018,182.54730189637954,Horror
72,2.3611865362210587,73204,135,2012,70.55181787584661,Horror
73,2.7670148196812665,77415,110,2003,181.86360028251315,Comedy
74,3.2598253410052513,91915,148,2011,169.30658122208382,Sci-Fi
75,4.155421854390776,47174,153,2009,496.72153854919236,Sci-Fi
76,5.781609451322209,39297,169,2014,59.122378713104474,Horror
77,4.449600113116613,89693,103,2025,400.0607325469313,Sci-Fi
78,3.5455230519023466,51420,95,2020,198.4445406035304,Horror
79,3.5956695736493796,58314,106,2008,432.09574971681394,Horror
80,9.63460538634778,57833,100,2017,116.86649770948526,Comedy
81,1.6583556758747275,99147,101,2005,271.87781199284973,Drama
82,1.1657461665596875,80722,136,2006,204.90205157498252,Drama
83,8.995505092117991,45454,173,2017,113.02368408270146,Sci-Fi
84,4.295775175922532,56465,148,2008,47.03421640891761,Action
85,2.2874892163424385,328,123,2008,87.28520639185861,Drama
86,8.591175031560109,23654,105,2010,341.58048838015446,Action
87,8.348263950944634,72060,124,2009,181.40070517931647,Horror
88,9.533274336047459,11883,178,2016,153.49287145550798,Action
89,3.2229025135248395,22791,112,2004,446.59366903846865,Horror
90,1.2658241811471913,40203,160,2009,455.961975341957,Action
91,2.36487279226466,32471,100,2025,97.26435463129494,Horror
92,7.40970337557911,41646,169,2025,190.38753395139307,Comedy
93,3.83026020542588,80292,156,2015,472.0045632405623,Horror
94,6.856921227049244,71778,131,2014,490.36555500463413,Drama
95,8.199076831551052,52317,138,2012,96.36502996472974,Sci-Fi
96,7.661530069028649,28997,104,2007,134.2659378970272,Comedy
97,6.551286612374507,43732,143,2003,233.59941102077178,Comedy
98,2.9636441421425244,39667,117,2006,396.7631817072493,Drama
99,7.849447850505737,46519,122,2019,488.8988433591549,Drama
100,9.198578498759353,23024,177,2009,4.283178831343273,Sci-Fi
101,2.472503800191074,93064,80,2001,115.5237380539037,Drama
102,5.071902952756993,440,83,2010,255.18002712884459,Comedy
103,9.803334837967405,92693,159,2003,444.23579858964183,Horror
104,9.799216543573484,2553,110,2017,68.2103192602179,Action
105,8.734798452140476,76162,147,2021,138.88629945396053,Comedy
106,6.462182517850244,96903,156,2024,443.79878878675214,Action
107,9.07175752130259,57679,151,2018,180.75857315328255,Comedy
108,3.761993131391814,50110,107,2006,308.62871810190876,Comedy
109,7.983028473130567,92174,136,2005,28.70959959507523,Sci-Fi
110,6.901445011170315,44047,102,2005,441.27797498978583,Sci-Fi
111,1.1622755400666764,95508,117,2005,451.5377753962065,Action
112,8.57639651033778,42298,145,2024,255.5604717665965,Horror
113,3.2977789106818185,73085,179,2000,154.46137566379,Sci-Fi
114,1.8564544518817105,32342,105,2023,4.802680388961928,Action
115,1.770820091478061,77559,147,2006,365.0727658608499,Comedy
116,5.350510994368357,71734,87,2018,199.33075041256174,Comedy
117,8.260761871906887,40757,161,2020,268.46205245482946,Action
118,2.664517391984127,26085,95,2014,446.7533977353377,Comedy
119,5.164309468045364,55001,132,2018,449.7605546359055,Drama
120,3.1874377127783737,75376,138,2001,408.5585579737944,Sci-Fi
121,9.207619461631001,45062,161,2006,330.6375787558284,Sci-Fi
122,3.456045668988961,36870,132,2011,499.47162734008276,Action
123,1.675942553131514,78173,93,2017,318.79189077316494,Comedy
