movie_id,rating,votes,runtime,release_year,revenue,genre
1,8.335371382282947,68820,166,2025,35.530690643991555,Horror
2,9.814700342332833,53725,162,2020,41.667726222210014,Horror
3,4.216076597747285,76597,150,2025,425.13712473952313,Action
4,7.395180606132599,22703,167,2014,452.84653934878946,Action
5,5.293177453997765,37418,133,2013,416.88928865865756,Drama
6,4.7480603592038895,4572,157,2006,232.2427006261663,Sci-Fi
7,3.438248715513951,95346,116,2018,370.1744565198185,Sci-Fi
8,9.192152294061119,54282,173,2000,146.06036245563868,Comedy
9,7.301763918780788,15638,127,2015,177.21485079933535,Comedy
10,4.058231152711302,70736,139,2016,230.4014308989373,Drama
11,3.0872917200541683,75990,122,2009,306.12893449712647,Horror
12,2.963978014852801,20769,123,2008,256.4855362062822,Sci-Fi
13,2.708741286094766,46362,84,2006,65.00472827776777,Drama
14,6.183306651734069,44711,143,2017,13.535969211953,Comedy
15,2.839599927742898,33406,152,2006,168.58372541178022,Horror
16,8.248596881896527,64671,152,2002,343.5977989069284,Comedy
17,5.175784478340388,26449,129,2007,339.5506641425363,Action
18,8.079844998725465,90330,177,2002,256.0844026606512,Horror
19,2.653300398398443,29399,113,2006,64.82668738089674,Action
20,8.075659268029227,22522,104,2006,332.4433075078154,Drama
21,6.905651725816955,87617,172,2004,342.3458841533796,Horror
22,2.497534920216524,84636,127,2022,77.5393032938766,Horror
23,3.0306914550865343,71453,171,2012,298.20905696085373,Comedy
24,6.086869820304343,46783,129,2013,281.8781945721809,Horror
25,9.863286679811981,59011,109,2015,37.89474285308948,Sci-Fi
26,5.3317459363452535,67838,178,2023,260.98703177954246,Drama
27,6.615794603425577,93363,117,2013,213.1265366728808,Action
28,5.5790830013164365,29698,144,2012,154.2362883455247,Sci-Fi
29,6.9002223774958145,95496,100,2018,111.76069033329908,Sci-Fi
30,4.17928499787107,77842,157,2023,203.45861962379445,Drama
31,7.1604822749532175,25129,139,2016,410.7428227467735,Sci-Fi
32,1.3808705070022684,95556,174,2025,469.77472739635783,Action
33,6.414719599477304,89956,118,2016,318.66043491809756,Action
34,7.0211145763970455,84142,153,2025,276.3108670310506,Action
35,9.120744082777867,19512,147,2020,171.96353672693047,Action
36,4.669557498206709,7520,146,2021,142.38585781562605,Sci-Fi
37,6.607199043478036,425,148,2003,447.04028046738404,Action
38,9.036604861967367,70542,102,2008,11.074889571283869,Drama
39,5.021132355070185,53655,132,2012,151.32778094800784,Drama
40,7.019184452887787,30471,119,2020,322.11278241770435,Comedy
