user_id,movie_id,rating
1,787,3
1,733,3
1,427,1
1,397,4
1,583,5
1,264,5
1,553,5
1,729,1
1,960,5
1,100,3
1,171,2
2,194,4
2,407,3
2,676,5
2,652,3
2,453,3
2,742,4
2,625,1
2,550,1
2,283,4
2,348,4
2,473,2
2,275,3
3,407,1
3,380,2
3,112,1
3,194,2
3,358,3
3,120,2
3,281,2
3,558,1
4,488,5
4,880,4
4,507,4
4,144,1
4,981,3
4,129,2
5,859,2
5,62,3
5,950,5
5,695,4
5,901,5
5,352,2
5,583,3
5,4,2
5,856,5
5,391,4
5,7,1
5,112,4
6,224,2
6,292,5
6,809,5
6,643,1
6,118,3
6,336,3
6,737,5
6,821,1
6,965,1
6,746,5
6,462,3
6,133,1
6,102,1
6,106,5
6,995,3
7,621,4
7,860,2
7,840,1
7,103,4
7,440,3
7,223,3
7,943,5
7,991,1
7,815,1
7,385,2
8,106,2
8,525,3
8,213,5
8,181,1
8,896,2
8,283,4
8,958,4
8,563,2
8,768,2
8,316,5
8,217,5
8,147,4
8,45,4
8,276,2
8,123,2
8,822,1
8,604,5
8,564,1
9,923,4
9,358,1
9,406,5
9,63,1
9,770,4
9,257,2
9,936,5
9,506,4
9,963,3
9,894,4
9,602,1
9,44,4
9,311,1
9,509,1
9,667,3
10,124,2
10,841,2
10,424,5
10,777,2
10,41,5
10,909,4
11,561,1
11,424,1
11,91,1
11,708,1
11,627,4
11,470,4
12,609,4
12,445,3
12,661,2
12,583,1
12,33,3
12,261,3
13,667,3
13,362,1
13,27,2
13,249,5
13,233,1
13,838,3
13,790,4
13,10,1
13,999,1
13,187,2
13,98,2
13,617,1
13,164,2
13,480,4
13,429,2
13,930,2
13,5,4
13,500,2
13,595,2
14,174,5
14,237,3
14,188,5
14,199,2
14,469,1
14,314,5
14,335,4
14,19,4
14,357,5
14,540,2
14,865,2
14,181,1
14,213,3
14,315,5
14,441,2
15,324,4
15,880,5
15,419,3
15,167,2
15,182,2
15,844,4
15,257,4
15,73,2
15,770,3
15,311,3
15,648,5
15,346,5
15,619,4
15,837,1
15,366,2
15,478,4
15,560,3
15,297,5
15,721,3
16,708,1
16,688,2
16,288,2
16,777,1
16,44,2
16,398,2
16,281,1
16,160,1
16,239,5
16,874,5
16,762,3
16,178,2
16,629,4
16,117,2
17,423,4
17,884,5
17,783,4
17,275,3
17,463,4
17,612,5
17,446,1
17,814,3
18,63,5
18,811,5
18,410,4
18,403,5
18,985,1
18,881,1
18,804,1
18,846,4
18,134,2
18,533,1
19,316,3
19,24,4
19,105,5
19,236,5
19,872,2
19,905,2
19,993,5
19,510,3
19,303,4
19,592,4
19,134,2
19,615,3
20,938,4
20,138,3
20,698,1
20,844,1
20,872,5
20,838,5
20,127,1
20,94,1
20,375,5
20,155,1
20,778,3
20,600,1
20,829,2
20,77,5
20,617,3
20,783,5
21,542,3
21,663,3
21,94,1
21,518,3
21,86,4
21,92,3
21,96,2
21,275,5
21,859,4
21,492,2
22,986,3
22,218,2
22,846,2
22,510,1
22,578,1
22,981,5
22,269,5
22,402,5
22,381,4
22,588,3
22,311,4
22,455,2
22,25,2
22,383,1
22,120,1
22,718,4
22,296,5
22,769,4
23,259,5
23,656,5
23,380,1
23,963,5
23,266,2
23,587,3
23,89,3
23,525,2
23,51,5
23,148,3
23,627,1
23,13,5
23,560,4
23,317,2
23,73,1
23,93,5
23,334,3
24,212,2
24,887,3
24,97,3
24,434,4
24,473,2
24,27,4
24,542,3
25,678,3
25,830,5
25,140,4
25,166,5
25,915,5
26,261,5
26,160,4
26,80,4
26,988,2
26,965,5
26,999,3
26,894,4
26,326,5
26,605,2
26,119,3
27,490,1
27,3,1
27,372,4
27,846,2
27,236,2
27,869,3
27,663,3
27,25,2
27,130,5
27,271,2
27,749,1
27,343,2
27,515,3
27,292,3
27,921,1
27,174,1
27,832,1
27,170,4
27,586,4
28,629,1
28,320,2
28,192,5
28,334,4
28,171,3
28,720,2
28,874,5
28,47,2
28,188,3
28,580,5
28,808,4
29,126,1
29,43,2
29,693,1
29,533,1
29,355,1
29,368,5
29,925,1
30,254,1
